# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
31.86,-38.29,-12.65,94.32,120.00,120.00,34.20
31.93,-41.01,-6.01,93.90,120.00,39.70,34.70
31.99,-40.65,-7.32,93.95,120.00,120.00,33.60
32.12,-40.41,-5.87,93.62,120.00,42.10,33.90
32.18,-42.17,-3.99,93.00,120.00,41.80,34.10
32.25,-43.01,-2.90,92.63,120.00,39.20,36.90
32.31,-43.04,-2.15,92.30,120.00,43.10,36.10
32.44,-43.34,-2.39,92.46,120.00,39.60,32.20
32.50,-43.57,-1.49,92.15,120.00,38.10,35.40
32.57,-44.81,-1.28,92.34,120.00,38.00,35.50
32.63,-44.43,-2.23,92.65,120.00,40.00,36.00
32.76,-41.70,2.47,91.96,120.00,37.60,40.60
32.82,-43.51,5.58,93.84,82.70,41.30,35.00
32.89,-40.89,-22.11,91.82,120.00,92.70,31.40
